Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches
33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10.0,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.5,31,25,17,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
34,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,27,26,2146,23.8,2,2,4,2,0,0,9,0,2.3,2.1,1.3,3.4,26,92,25,0.08,0.08,0.17,0.08,0.17,0.10,0.05,0.15,0.09,0.14,Matches
35,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,1289,14.3,0,0,0,0,0,0,3,0,0.8,0.8,0.3,1.1,11,43,1,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,2664,29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63,106,50,0.07,0.03,0.10,0.07,0.10,0.04,0.05,0.09,0.04,0.09,Matches
38,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2,47,54,85,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08,Matches
39,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,3,2,187,2.1,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,7,11,18,0.00,0.48,0.48,0.00,0.48,0.03,0.13,0.16,0.03,0.16,Matches
40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,2780,30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13,73,7,0.06,0.00,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,Matches
41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,35,34,2967,33.0,16,4,20,12,4,5,5,0,15.7,11.8,3.9,15.7,33,61,224,0.49,0.12,0.61,0.36,0.49,0.48,0.12,0.60,0.36,0.48,Matches
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,2350,26.1,2,0,2,2,0,0,4,0,1.7,1.7,0.3,2.0,26,159,7,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08,Matches
43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,1,0,1,1,0,0,3,1,0.3,0.3,0.2,0.5,12,15,15,0.10,0.00,0.10,0.10,0.10,0.03,0.02,0.05,0.03,0.05,Matches
44,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,4,5,12,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.64,0.64,0.64,Matches
45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,12,52,6,0.11,0.00,0.11,0.11,0.11,0.03,0.00,0.03,0.03,0.03,Matches
46,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,0,5,1,0.0,0.0,0.6,0.6,4,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
47,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,32,6,1056,11.7,0,1,1,0,0,0,9,0,1.2,1.2,0.8,1.9,11,26,31,0.00,0.09,0.09,0.00,0.09,0.10,0.06,0.16,0.10,0.16,Matches
