Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
102,Michail Antonio,jm JAM,"FW,MF",West Ham,eng Premier League,27,1990,15.0,38,2.53,24,1,6,1,6,0,5,0.33,1,0,2,1,1,0,Matches
103,Mirko Antonucci,it ITA,FW,Roma,it Serie A,18,1999,0.3,2,6.00,2,0,0,0,0,0,1,3.00,1,0,0,0,0,0,Matches
104,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,30,1987,31.1,59,1.90,31,20,3,1,1,3,5,0.16,3,1,1,0,0,0,Matches
105,Dennis Aogo,de GER,"MF,DF",Stuttgart,de Bundesliga,30,1987,21.7,43,1.98,28,14,0,1,0,0,8,0.37,3,4,0,1,0,0,Matches
106,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,19,1998,27.0,97,3.59,71,0,9,5,8,4,15,0.55,12,0,1,1,0,1,Matches
107,Alberto Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,14.4,28,1.94,26,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,23.6,25,1.06,18,0,1,2,2,2,2,0.08,1,0,0,1,0,0,Matches
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,20,1997,2.1,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,25.6,71,2.78,59,4,0,3,2,3,6,0.23,4,1,0,0,0,1,Matches
111,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,21,1996,22.4,55,2.45,37,2,9,5,2,0,8,0.36,6,0,1,0,1,0,Matches
112,Sergio Araujo,ar ARG,"MF,FW",Las Palmas,es La Liga,25,1992,0.4,2,4.62,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,26.8,39,1.45,29,3,1,4,1,1,5,0.19,4,0,0,1,0,0,Matches
114,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Scott Arfield,ca CAN,"MF,FW",Burnley,eng Premier League,28,1988,14.8,22,1.49,14,0,3,3,2,0,3,0.20,1,0,1,0,1,0,Matches
116,Samuel Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,4.8,4,0.84,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Yoël Armougom,fr FRA,"DF,MF",Caen,fr Ligue 1,19,1998,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,José Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Marko Arnautović,at AUT,"FW,MF",West Ham,eng Premier League,28,1989,25.7,80,3.11,51,2,15,7,4,1,16,0.62,10,0,3,2,0,1,Matches
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,27.3,83,3.05,55,22,0,1,4,1,3,0.11,2,1,0,0,0,0,Matches
121,Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,de Bundesliga,17,2000,9.4,18,1.91,9,0,4,1,3,1,2,0.21,1,0,1,0,0,0,Matches
122,Alejandro Arribas,es ESP,DF,La Coruña,es La Liga,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Sergio Arribas,es ESP,MF,Leganés,es La Liga,22,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,7,0.23,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,27,1989,10.7,23,2.16,19,2,0,0,0,2,1,0.09,0,0,0,0,0,1,Matches
126,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,31,1986,2.0,2,0.98,2,0,0,0,0,0,1,0.49,1,0,0,0,0,0,Matches
