,Player,Squad,Pos,GCA90,SCA90
951,Tiago Gabriel,Lecce,DF,0.0,0.94
952,Alessandro Gabrielloni,Como,"FW,MF",0.63,3.78
953,Gianluca Gaetano,Cagliari,"MF,FW",0.45,4.28
954,Roberto Gagliardini,Monza,"MF,DF",0.0,2.0
955,Cody Gakpo,Liverpool,FW,0.37,3.72
956,Javi Galán,Atlético Madrid,DF,0.3,1.66
957,Iñigo Ruiz de Galarreta,Athletic Club,MF,0.37,3.04
958,Conor Gallagher,Atlético Madrid,MF,0.44,1.76
959,Antonino Gallo,Lecce,DF,0.1,2.48
960,Gauthier Gallon,Rennes,GK,0.0,0.0
961,Cristian Gamboa,Bochum,DF,0.0,2.39
962,Idrissa Gana Gueye,Everton,MF,0.12,1.76
963,Ignatius Ganago,Nantes,"FW,MF",0.37,2.62
964,Silvère Ganvoula M'Boussy,Monza,FW,0.0,1.1
965,Facundo Garcés,Alavés,DF,0.0,0.4
966,Aleix García,Leverkusen,MF,0.62,3.71
967,Álvaro García,Rayo Vallecano,"FW,MF",0.25,3.66
968,Andrés García,Aston Villa,"DF,MF",0.0,0.85
969,Eric García,Barcelona,"DF,MF",0.4,1.84
970,Fran Garcia,Real Madrid,DF,0.12,2.32
971,Gonzalo García,Real Madrid,"FW,DF",1.61,3.21
972,Joan García,Espanyol,GK,0.03,0.24
973,Pablo Garcia,Betis,FW,0.0,4.62
974,Rubén García,Osasuna,"FW,MF",0.45,3.88
975,Ulisses Garcia,Marseille,DF,0.68,1.93
976,Unai García,Osasuna,DF,0.0,0.0
977,Alejandro Garnacho,Manchester Utd,"MF,FW",0.25,3.4
978,James Garner,Everton,"MF,DF",0.28,2.2
979,Yarek Gasiorowski,Valencia,DF,0.0,0.67
980,Federico Gatti,Juventus,DF,0.08,1.07
981,Gavi,Barcelona,"MF,FW",0.33,3.24
982,Paulo Gazzaniga,Girona,GK,0.0,0.03
983,Jean-Philippe Gbamin,Nantes,MF,0.0,1.67
984,Mory Gbane,Reims,"DF,MF",0.08,1.44
985,Yann Gboho,Toulouse,"MF,FW",0.27,3.36
986,David de Gea,Fiorentina,GK,0.09,0.29
987,Viggo Gebel,RB Leipzig,MF,0.0,6.43
988,Lutsharel Geertruida,RB Leipzig,DF,0.06,1.45
989,Dennis Geiger,Hoffenheim,"MF,FW",0.0,3.18
990,Valentin Gendrey,Lecce,DF,0.0,1.5
991,Valentin Gendrey,Hoffenheim,DF,0.25,2.36
992,Denis Genreau,Toulouse,MF,0.0,3.24
993,Tyrique George,Chelsea,FW,0.49,3.44
994,Yannick Gerhardt,Wolfsburg,"MF,DF",0.12,1.72
995,Max Geschwill,Holstein Kiel,DF,0.14,1.68
996,Daniele Ghilardi,Hellas Verona,DF,0.04,0.71
997,Lautaro Gianetti,Udinese,DF,0.0,0.41
998,Dimitris Giannoulis,Augsburg,DF,0.2,2.58
999,Morgan Gibbs-White,Nott'ham Forest,MF,0.61,3.69
1000,Samuel Gigot,Lazio,DF,0.13,0.79
1001,Armin Gigovic,Holstein Kiel,MF,0.33,1.85
1002,Bryan Gil,Girona,"FW,MF",0.26,2.93
1003,Mario Gila,Lazio,DF,0.03,1.25
1004,Billy Gilmour,Brighton,MF,0.0,2.76
1005,Billy Gilmour,Napoli,MF,0.31,3.06
1006,Benedikt Gimber,Heidenheim,DF,0.03,0.51
1007,Santiago Giménez,Milan,FW,0.54,2.15
1008,Gvidas Gineitis,Torino,MF,0.13,2.45
1009,Matthias Ginter,Freiburg,DF,0.14,0.95
1010,Jamie Gittens,Dortmund,"FW,MF",0.51,3.7
1011,Serge Gnabry,Bayern Munich,"FW,MF",0.94,4.06
1012,Ben Godfrey,Ipswich Town,DF,0.0,0.57
1013,Ben Godfrey,Atalanta,DF,0.0,0.0
1014,Martial Godo,Fulham,"FW,DF",0.0,3.91
1015,Saba Goglichidze,Empoli,DF,0.07,0.46
1016,Edoardo Goldaniga,Como,DF,0.11,0.89
1017,Michael Golding,Leicester City,MF,0.0,0.0
1018,Pierluigi Gollini,Genoa,GK,0.0,0.57
1019,Aleksandr Golovin,Monaco,"MF,FW",0.08,3.74
1020,André Gomes,Lille,MF,0.07,1.83
1021,Angel Gomes,Lille,MF,0.37,3.42
1022,João Gomes,Wolves,MF,0.12,2.03
1023,Rodrigo Gomes,Wolves,"DF,FW",0.11,2.45
1024,Toti Gomes,Wolves,DF,0.03,0.72
1025,Carlos Gómez,Rennes,"MF,DF",0.0,2.83
1026,Dani Gómez,Valencia,FW,0.0,1.02
1027,Diego Gómez,Brighton,MF,0.7,3.32
1028,Joe Gomez,Liverpool,DF,0.17,0.87
1029,Moi Gómez,Osasuna,"MF,FW",0.0,2.15
1030,Sergi Gómez,Espanyol,DF,0.0,0.54
1031,Sergio Gómez,Real Sociedad,"MF,DF",0.33,3.35
1032,Unai Gómez,Athletic Club,"MF,FW",0.21,1.61
1033,Tidiam Gomis,RB Leipzig,"MF,FW",0.59,5.33
1034,Fabio González,Las Palmas,MF,1.7,3.4
1035,Nicolás González,Manchester City,MF,0.35,1.77
1036,Nicolás González,Juventus,"FW,MF",0.21,2.42
1037,Peter González,Getafe,"MF,FW",0.19,2.44
1038,Urko González,Espanyol,MF,0.33,1.51
1039,Urko González,Real Sociedad,MF,0.0,2.0
1040,Anthony Gordon,Newcastle Utd,"FW,MF",0.44,3.74
1041,Leon Goretzka,Bayern Munich,"MF,DF",0.14,1.9
1042,Mathieu Gorgelin,Le Havre,GK,0.0,0.12
1043,Andoni Gorosabel,Athletic Club,DF,0.12,1.94
1044,Robin Gosens,Fiorentina,DF,0.5,2.36
1045,Robin Gosens,Union Berlin,DF,1.0,5.0
1046,Mario Götze,Eint Frankfurt,"MF,FW",0.18,3.39
1047,Amine Gouiri,Marseille,"FW,MF",0.6,4.81
1048,Amine Gouiri,Rennes,"MF,FW",0.35,2.52
1049,Lucas Gourna-Douath,Roma,MF,0.0,1.58
1050,Jeffrey Gouweleeuw,Augsburg,DF,0.15,1.04
1051,Kamil Grabara,Wolfsburg,GK,0.0,0.21
1052,Jonathan Gradit,Lens,DF,0.0,1.07
1053,José Gragera,Espanyol,MF,0.0,1.11
1054,Samuel Grandsir,Le Havre,"MF,FW",0.0,4.29
1055,Alberto Grassi,Empoli,MF,0.08,1.1
1056,Ryan Gravenberch,Liverpool,MF,0.17,1.94
1057,Archie Gray,Tottenham,"DF,MF",0.0,0.31
1058,Jack Grealish,Manchester City,"FW,MF",0.25,5.86
1059,Jacob Greaves,Ipswich Town,DF,0.04,0.82
1060,Mason Greenwood,Marseille,"FW,MF",0.61,3.95
1061,Michael Gregoritsch,Freiburg,FW,0.7,2.67
1062,Dominik Greif,Mallorca,GK,0.0,0.16
1063,Antoine Griezmann,Atlético Madrid,"FW,MF",0.47,3.39
1064,Vincenzo Grifo,Freiburg,"FW,MF",0.56,4.48
1065,Florian Grillitsch,Valladolid,MF,0.14,3.17
1066,Florian Grillitsch,Hoffenheim,MF,0.0,2.55
1067,Álex Grimaldo,Leverkusen,DF,0.38,4.4
1068,Pascal Groß,Dortmund,"MF,DF",0.66,3.71
1069,Brajan Gruda,Brighton,"MF,FW",0.78,5.1
1070,Marco Grüll,Werder Bremen,"FW,MF",0.38,3.13
1071,Albert Grønbaek,Southampton,"FW,MF",0.0,1.26
1072,Albert Grønbaek,Rennes,"MF,FW",0.55,3.21
1073,Vicente Guaita,Celta Vigo,GK,0.03,0.09
1074,Sergi Guardiola,Rayo Vallecano,FW,0.0,2.24
1075,Nemanja Gudelj,Sevilla,"MF,DF",0.07,1.23
1076,Gabriel Gudmundsson,Lille,DF,0.0,1.51
1077,Gonçalo Guedes,Wolves,"MF,FW",0.72,2.71
1078,Axel Gueguin,Montpellier,FW,0.0,0.0
1079,Marc Guéhi,Crystal Palace,DF,0.15,1.29
1080,Mattéo Guendouzi,Lazio,MF,0.19,3.25
1081,Javier Guerra,Valencia,MF,0.21,2.58
1082,Raphaël Guerreiro,Bayern Munich,"DF,MF",0.57,3.09
1083,Evann Guessand,Nice,"FW,MF",0.6,3.19
1084,Ander Guevara,Alavés,MF,0.23,1.89
1085,Pape Gueye,Villarreal,MF,0.36,1.98
1086,Morgan Guilavogui,St. Pauli,"FW,MF",0.2,2.59
1087,Frederic Guilbert,Lecce,DF,0.07,1.66
1088,Luis Guilherme,West Ham,"MF,FW",0.0,6.0
1089,Hugo Guillamón,Valencia,MF,0.25,1.73
1090,Bruno Guimarães,Newcastle Utd,MF,0.5,3.66
1091,Carlos Guirao,Betis,MF,0.0,0.0
1092,Bahereba Guirassy,Nantes,"FW,MF",0.52,2.59
1093,Serhou Guirassy,Dortmund,FW,0.35,1.84
1094,Marc Guiu,Chelsea,FW,0.0,1.22
1095,Péter Gulácsi,RB Leipzig,GK,0.0,0.07
1096,Arda Güler,Real Madrid,"MF,FW",0.79,5.69
1097,Gerard Gumbau,Rayo Vallecano,MF,0.11,3.07
1098,Robert Gumny,Augsburg,DF,0.0,2.66
1099,İlkay Gündoğan,Manchester City,MF,0.53,3.56
1100,Christian Günter,Freiburg,DF,0.16,2.06
1101,Jon Guridi,Alavés,"MF,FW",0.35,2.08
1102,Gorka Guruzeta,Athletic Club,FW,0.05,1.42
1103,Malo Gusto,Chelsea,DF,0.19,2.8
1104,Miguel Gutiérrez,Girona,"DF,MF",0.29,2.71
1105,Albert Guðmundsson,Fiorentina,"FW,MF",0.35,2.76
1106,Joško Gvardiol,Manchester City,DF,0.19,2.09
1107,Emmanuel Gyasi,Empoli,"DF,FW",0.14,1.12
1108,Christian Gytkjær,Venezia,FW,0.24,1.67
1109,Erling Haaland,Manchester City,FW,0.3,2.34
1110,Nicolas Haas,Empoli,MF,0.0,2.51
1111,Janik Haberer,Union Berlin,"MF,DF",0.05,1.8
1112,Robin Hack,Gladbach,"FW,MF",0.46,3.11
1113,Saad El Haddad,Venezia,MF,0.0,6.0
1114,Munir El Haddadi,Leganés,"FW,MF",0.21,2.2
1115,Amadou Haidara,RB Leipzig,MF,0.2,1.98
1116,Massadio Haïdara,Brest,DF,0.05,1.66
1117,Antoine Hainaut,Parma,"DF,FW",0.15,1.42
1118,Mohamed Haj,Parma,MF,0.4,3.96
1119,Achraf Hakimi,Paris S-G,DF,0.48,4.53
1120,Lewis Hall,Newcastle Utd,DF,0.25,2.59
1121,Sébastien Haller,Leganés,FW,0.0,0.89
1122,Ali Al Hamadi,Ipswich Town,FW,0.0,5.37
1123,Andreas Hanche-Olsen,Mainz 05,DF,0.07,0.35
1124,Florent Hanin,Angers,DF,0.3,2.02
1125,Ridgeciano Haps,Venezia,DF,0.13,1.31
1126,Amine Harit,Marseille,MF,1.39,5.72
1127,Marcus Harness,Ipswich Town,MF,0.0,4.0
1128,Phil Harres,Holstein Kiel,FW,0.29,1.28
1129,Jack Harrison,Everton,FW,0.17,2.47
1130,Abdou Harroui,Hellas Verona,"MF,FW",0.58,2.92
1131,Taylor Harwood-Bellis,Southampton,DF,0.06,1.18
1132,Hans Hateboer,Rennes,DF,0.11,1.6
1133,Kjetil Haug,Toulouse,GK,0.0,0.0
1134,Kai Havertz,Arsenal,"FW,MF",0.14,2.02
1135,Ayden Heaven,Manchester Utd,DF,0.0,2.12
1136,Jan Paul van Hecke,Brighton,DF,0.09,1.58
1137,Hwang Hee-chan,Wolves,"MF,FW",0.14,1.22
1138,Dean Henderson,Crystal Palace,GK,0.0,0.11
1139,Liam Henderson,Empoli,MF,0.19,2.27
1140,Ramon Hendriks,Stuttgart,DF,0.16,1.01
1141,Paul Hennrich,Hoffenheim,MF,0.0,0.0
1142,Benjamin Henrichs,RB Leipzig,DF,0.39,1.93
1143,Henrique,Valladolid,DF,0.0,1.53
1144,Luis Henrique,Marseille,"DF,FW",0.52,3.62
1145,Rico Henry,Brentford,DF,0.92,1.84
1146,Mads Hermansen,Leicester City,GK,0.0,0.11
1147,Mario Hermoso,Roma,DF,0.0,1.43
1148,Mario Hermoso,Leverkusen,DF,0.0,1.54
1149,Javi Hernández,Leganés,DF,0.11,1.54
1150,Aridane Hernández,Rayo Vallecano,DF,0.0,0.79
1151,Lucas Hernández,Paris S-G,DF,0.0,1.13
1152,Theo Hernández,Milan,DF,0.4,3.57
1153,Hernani,Parma,MF,0.34,2.92
1154,Jorge Herrando,Osasuna,DF,0.0,0.86
1155,Ander Herrera,Athletic Club,MF,0.0,3.64
1156,Sergio Herrera,Osasuna,GK,0.0,0.16
1157,Yangel Herrera,Girona,MF,0.24,1.99
1158,Juan Herzog,Las Palmas,DF,0.0,0.21
1159,Son Heung-min,Tottenham,FW,0.64,4.99
1160,Isak Hien,Atalanta,DF,0.04,0.19
1161,Omar El Hilali,Espanyol,DF,0.09,0.8
1162,James Hill,Bournemouth,DF,0.2,1.61
1163,Piero Hincapié,Leverkusen,DF,0.1,1.18
1164,Roger Hinojo,Espanyol,DF,0.0,0.0
1165,Jack Hinshelwood,Brighton,"MF,DF",0.15,1.71
1166,George Hirst,Ipswich Town,FW,0.41,1.22
1167,Adam Hložek,Hoffenheim,"FW,MF",0.48,2.74
1168,Ki-Jana Hoever,Auxerre,DF,0.17,2.08
1169,Nicolas Höfler,Freiburg,MF,0.11,1.47
1170,Jonas Hofmann,Leverkusen,"MF,DF",0.25,4.04
1171,Philipp Hofmann,Bochum,FW,0.12,2.17
1172,Lucas Höler,Freiburg,"FW,MF",0.29,2.46
1173,Mason Holgate,Everton,"FW,DF",0.0,0.0
1174,Benedict Hollerbach,Union Berlin,"FW,MF",0.25,2.8
1175,Emil Holm,Bologna,DF,0.16,2.22
1176,Lewis Holtby,Holstein Kiel,MF,0.22,2.69
1177,Gerrit Holtmann,Bochum,"DF,FW",0.24,3.4
1178,Franck Honorat,Gladbach,FW,0.5,5.19
1179,Mathias Honsak,Heidenheim,"FW,DF",0.38,3.13
1180,Dinko Horkaš,Las Palmas,GK,0.0,0.17
1181,Timo Horn,Bochum,GK,0.0,0.23
1182,Cédric Hountondji,Angers,DF,0.0,0.33
1183,Ilyes Housni,Le Havre,"FW,MF",0.0,2.34
1184,Harry Howell,Brighton,FW,0.0,0.0
1185,Lukáš Hrádecký,Leverkusen,GK,0.03,0.14
1186,Robin Hranáč,Hoffenheim,DF,0.0,0.41
1187,Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",0.45,3.86
1188,Will Hughes,Crystal Palace,MF,0.26,2.86
1189,Dean Huijsen,Bournemouth,DF,0.11,1.59
1190,Mats Hummels,Roma,DF,0.1,0.79
1191,Omari Hutchinson,Ipswich Town,"MF,FW",0.21,2.82
1192,Elseid Hysaj,Lazio,DF,0.64,2.12
1193,Hong Hyunseok,Mainz 05,MF,0.51,3.73
1194,Pierre Højbjerg,Marseille,MF,0.34,3.38
1195,Oscar Højlund,Eint Frankfurt,MF,0.12,2.12
1196,Rasmus Højlund,Manchester Utd,FW,0.04,1.53
1197,Pablo Ibáñez,Osasuna,MF,0.28,1.39
1198,Hafiz Ibrahim,Reims,FW,0.23,0.92
1199,Arijon Ibrahimović,Lazio,MF,0.0,11.25
1200,Arijon Ibrahimović,Bayern Munich,FW,0.0,0.0
1201,Stanis Idumbo,Sevilla,"FW,MF",0.32,2.21
1202,Jay Idzes,Venezia,DF,0.0,0.69
1203,Iglesias,Getafe,DF,0.16,1.84
1204,Borja Iglesias,Celta Vigo,FW,0.32,1.66
1205,Igor,Brighton,DF,0.0,1.31
1206,Kelechi Iheanacho,Sevilla,FW,0.0,2.7
1207,Jonathan Ikone,Como,FW,0.5,2.33
1208,Jonathan Ikone,Fiorentina,"FW,MF",0.0,3.5
1209,George Ilenikhena,Monaco,FW,0.38,2.14
1210,Andrej Ilic,Union Berlin,FW,0.19,1.44
1211,Ivan Ilić,Torino,MF,0.59,3.03
1212,Rareş Ilie,Nice,MF,0.0,48.46
1213,Samuel Iling-Junior,Bologna,"FW,MF",0.0,5.29
1214,Danny Ings,West Ham,"FW,MF",0.63,3.8
1215,Alessio Iovine,Como,"DF,FW",0.0,1.16
1216,Tim Iroegbunam,Everton,MF,0.16,1.57
1217,Jackson Irvine,St. Pauli,MF,0.17,1.93
1218,Andy Irving,West Ham,MF,0.0,2.68
1219,Alexander Isak,Newcastle Utd,FW,0.46,3.01
1220,Gustav Isaksen,Lazio,FW,0.37,3.79
1221,Isco,Betis,MF,0.81,6.46
1222,Ismaily,Lille,DF,0.1,2.39
1223,Ardian Ismajli,Empoli,DF,0.04,0.29
1224,Yanis Issoufou,Montpellier,"MF,FW",0.0,0.0
1225,Ko Itakura,Gladbach,DF,0.03,0.81
1226,Hiroki Ito,Bayern Munich,DF,0.36,1.81
1227,Junya Ito,Reims,"FW,MF",0.3,4.32
1228,Diego Iturralde,Sevilla,FW,0.0,0.0
1229,Marko Ivezić,Holstein Kiel,DF,0.05,0.65
1230,Alex Iwobi,Fulham,"FW,MF",0.48,3.68
1231,Armando Izzo,Monza,DF,0.07,0.74
1232,Fellipe Jack,Como,DF,0.0,1.05
1233,Nicolas Jackson,Chelsea,FW,0.41,2.8
1234,Jérémy Jacquet,Rennes,DF,0.1,0.87
1235,Lee Jae-sung,Mainz 05,MF,0.48,2.48
1236,Ivan Jaime Pajuelo,Valencia,MF,0.0,3.65
1237,Kristijan Jakić,Augsburg,MF,0.27,1.64
1238,Karl Jakob Hein,Valladolid,GK,0.0,0.13
1239,Ismail Jakobs,Monaco,DF,0.5,4.0
1240,Jordan James,Rennes,MF,0.46,3.36
1241,Reece James,Chelsea,"DF,MF",0.25,1.52
1242,Vitaly Janelt,Brentford,MF,0.12,1.28
1243,Adnan Januzaj,Las Palmas,"MF,FW",0.75,5.57
1244,Luca Jaquez,Stuttgart,DF,0.0,1.77
1245,Vitezslav Jaros,Liverpool,GK,0.0,0.0
1246,Ali Jasim,Como,"FW,DF",0.0,9.0
1247,Mikel Jauregizar,Athletic Club,MF,0.36,2.93
1248,Dominik Javorček,Holstein Kiel,"DF,MF",0.47,1.63
1249,Gaby Jean,Lecce,DF,0.0,0.26
1250,Daniel Jebbison,Bournemouth,FW,0.0,4.54
1251,Finn Jeltsch,Stuttgart,DF,0.0,0.23
1252,Malcolm Jeng,Reims,DF,0.0,0.0
1253,Fredrik Jensen,Augsburg,MF,0.0,2.25
1254,Mathias Jensen,Brentford,MF,0.52,4.28
1255,Moritz Jenz,Mainz 05,DF,0.11,0.62
1256,Gabriel Jesus,Arsenal,FW,0.59,2.66
1257,Juan Jesus,Napoli,DF,0.08,0.75
1258,Alejandro Jiménez,Milan,"DF,FW",0.28,2.42
1259,Raúl Jiménez,Fulham,FW,0.25,2.38
1260,Kim Jisoo,Brentford,DF,0.0,0.0
1261,João Pedro,Brighton,"FW,MF",0.42,3.32
1262,John Joe,Getafe,"MF,FW",0.0,0.0
1263,John Joe,Reims,MF,0.0,1.48
1264,Joelinton,Newcastle Utd,"MF,FW",0.34,2.29
1265,Jofre,Espanyol,"MF,FW",0.21,2.33
1266,Þórir Jóhann Helgason,Lecce,MF,0.55,3.04
1267,Carl Johansson,Holstein Kiel,DF,0.0,1.27
1268,Ben Johnson,Ipswich Town,"DF,FW",0.33,1.6
1269,Brennan Johnson,Tottenham,FW,0.29,1.9
1270,Karl-Johan Johnsson,Strasbourg,GK,0.0,0.0
1271,Sam Johnstone,Wolves,GK,0.0,0.29
1272,Paul Joly,Auxerre,DF,0.27,2.85
1273,Curtis Jones,Liverpool,"MF,DF",0.42,2.74
1274,Frenkie de Jong,Barcelona,MF,0.87,3.39
1275,Joan Jordán,Alavés,MF,0.19,3.5
1276,Jorginho,Arsenal,MF,0.0,1.54
1277,Jesse Joronen,Venezia,GK,0.0,0.0
1278,Jota,Rennes,"FW,MF",0.27,1.89
1279,Diogo Jota,Liverpool,FW,0.68,2.79
1280,Antoine Joujou,Le Havre,"MF,FW",0.29,3.53
1281,Luka Jović,Milan,"FW,MF",0.0,2.59
1282,Juanmi,Getafe,"FW,MF",0.13,1.16
1283,Juanmi,Betis,"FW,MF",0.0,1.84
1284,Juanpe,Girona,DF,0.0,0.37
1285,Jubal,Auxerre,DF,0.03,0.51
1286,Anthony Jung,Werder Bremen,DF,0.05,0.66
1287,Luiz Lúcio Reis Júnior,Villarreal,GK,0.0,0.06
1288,Hamed Junior Traorè,Auxerre,MF,0.3,3.05
1289,Vinicius Júnior,Real Madrid,FW,0.72,5.39
1290,Josip Juranović,Union Berlin,"DF,MF",0.16,3.97
1291,David Jurásek,Hoffenheim,DF,0.15,2.76
1292,Stanko Jurić,Valladolid,MF,0.1,0.47
1293,James Justin,Leicester City,DF,0.06,1.02
1294,Filip Jørgensen,Chelsea,GK,0.0,0.17
1295,Mohamed Kaba,Lecce,MF,0.0,1.99
1296,Yusuf Kabadayı,Augsburg,"FW,MF",0.0,5.07
1297,Almugera Kabar,Dortmund,DF,0.0,1.99
1298,Christian Kabasele,Udinese,DF,0.0,0.93
1299,Issa Kaboré,Werder Bremen,"DF,FW",1.17,4.38
1300,Yaya Kader Fofana,Reims,"MF,FW",0.71,3.12
1301,Pavel Kadeřábek,Hoffenheim,DF,0.06,2.34
1302,Tino Kadewere,Nantes,"MF,FW",0.35,3.34
1303,Ferdi Kadioglu,Brighton,"DF,MF",0.47,3.03
1304,Arnaud Kalimuendo,Rennes,"FW,MF",0.21,1.71
1305,Pierre Kalulu,Juventus,DF,0.04,1.39
1306,Justin-Noël Kalumba,Angers,"FW,MF",0.0,0.0
1307,Daichi Kamada,Crystal Palace,MF,0.17,2.99
1308,Waren Kamanzi,Toulouse,"DF,MF",0.26,2.02
1309,Boubacar Kamara,Aston Villa,MF,0.1,1.41
1310,Glen Kamara,Rennes,MF,0.27,2.72
1311,Hassane Kamara,Udinese,DF,0.27,1.98
1312,Noham Kamara,Paris S-G,DF,0.0,1.18
1313,Willy Kambwala,Villarreal,DF,0.0,0.4
1314,Jakub Kamiński,Wolfsburg,"DF,MF",0.4,3.42
1315,Kevin Kampl,RB Leipzig,MF,0.28,2.49
1316,Nordine Kandil,Strasbourg,MF,0.0,0.0
1317,Harry Kane,Bayern Munich,FW,0.79,3.36
1318,Lee Kang-in,Paris S-G,"FW,MF",0.33,5.26
1319,Yann Karamoh,Torino,"MF,FW",0.17,2.06
1320,Atakan Karazor,Stuttgart,MF,0.24,1.48
1321,Jesper Karlsson,Bologna,FW,0.3,2.72
1322,Jesper Karlsson,Lecce,FW,0.0,3.26
1323,Jesper Karlström,Udinese,MF,0.08,1.67
1324,Lior Kasa,Genoa,"MF,FW",0.0,1.97
1325,Grigoris Kastanos,Hellas Verona,"MF,FW",0.21,2.47
1326,Mikkel Kaufmann,Heidenheim,FW,0.24,2.92
1327,Joachim Kayi Sanda,Southampton,DF,0.0,0.0
1328,Michael Kayode,Brentford,DF,0.51,3.24
1329,Michael Kayode,Fiorentina,"DF,FW",0.0,2.83
1330,Moise Kean,Fiorentina,FW,0.23,1.9
1331,Michael Keane,Everton,DF,0.0,0.51
1332,Yassine Kechta,Le Havre,"MF,FW",0.17,2.06
1333,Thilo Kehrer,Monaco,DF,0.11,0.98
1334,Abdoulaye Keita,Getafe,"FW,MF",0.0,0.95
1335,Mandela Keita,Parma,MF,0.2,1.63
1336,Yannik Keitel,Stuttgart,MF,0.0,0.67
1337,Andu Kelati,Holstein Kiel,"MF,DF",0.31,2.81
1338,Caoimhín Kelleher,Liverpool,GK,0.1,0.3
1339,Thomas Keller,Heidenheim,"DF,MF",0.0,0.61
1340,Lloyd Kelly,Newcastle Utd,DF,0.3,0.59
1341,Lloyd Kelly,Juventus,DF,0.0,1.07
1342,Aljoscha Kemlein,Union Berlin,MF,0.2,2.05
1343,Marc-Oliver Kempf,Como,DF,0.07,1.17
1344,Kenedy,Valladolid,"MF,FW",0.0,0.0
1345,Luca Kerber,Heidenheim,"MF,DF",0.11,1.03
1346,Milos Kerkez,Bournemouth,DF,0.24,2.24
1347,Reda Khadra,Reims,"MF,FW",0.0,2.25
1348,Bilal El Khannouss,Leicester City,"MF,FW",0.29,3.22
1349,Wahbi Khazri,Montpellier,"FW,MF",0.17,3.27
1350,Rani Khedira,Union Berlin,MF,0.07,1.09
1351,Abdukodir Khusanov,Manchester City,DF,0.0,0.89
1352,Abdukodir Khusanov,Lens,DF,0.0,1.02
1353,Kialonda,Lecce,DF,0.04,0.63
1354,Kiké,Alavés,FW,0.14,1.35
1355,Max Kilman,West Ham,DF,0.13,0.86
1356,Joshua Kimmich,Bayern Munich,MF,0.57,5.03
1357,Presnel Kimpembe,Paris S-G,DF,0.0,0.0
1358,Joshua King,Fulham,MF,1.38,5.54
1359,Joshua King,Toulouse,"FW,MF",0.22,1.67
1360,Tom King,Wolves,GK,0.0,0.0
1361,Antonín Kinský,Tottenham,GK,0.0,0.17
1362,Cédric Kipré,Reims,DF,0.12,1.27
1363,Jakub Kiwior,Arsenal,DF,0.0,0.64
1364,Tim Kleindienst,Gladbach,FW,0.46,2.24
1365,Lukas Klostermann,RB Leipzig,DF,0.1,0.83
1366,Justin Kluivert,Bournemouth,MF,0.46,3.88
1367,Ansgar Knauff,Eint Frankfurt,"MF,DF",0.56,3.5
1368,Magnus Knudsen,Holstein Kiel,MF,0.19,1.56
1369,Gregor Kobel,Dortmund,GK,0.0,0.12
1370,Robin Koch,Eint Frankfurt,DF,0.14,0.73
1371,Hervé Koffi,Lens,GK,0.0,0.0
1372,Magnus Kofod Andersen,Venezia,MF,0.39,2.59
1373,Derrick Köhn,Werder Bremen,"DF,FW",0.27,2.55
1374,Philipp Köhn,Monaco,GK,0.05,0.21
1375,Dominik Kohr,Mainz 05,"DF,MF",0.08,1.14
1376,Koka,Le Havre,FW,0.32,1.16
1377,Koke,Atlético Madrid,MF,0.23,2.38
1378,Sead Kolašinac,Atalanta,DF,0.19,1.75
1379,Randal Kolo Muani,Juventus,FW,0.23,2.09
1380,Randal Kolo Muani,Paris S-G,FW,0.75,3.27
1381,Marco Komenda,Holstein Kiel,DF,0.07,1.58
1382,Mert Kömür,Augsburg,MF,0.14,3.44
1383,Ibrahima Konaté,Liverpool,DF,0.25,1.09
1384,Ismael Konate,Empoli,"FW,MF",0.77,2.31
1385,Geoffrey Kondogbia,Marseille,"DF,MF",0.0,1.07
1386,Abdoul Koné,Reims,DF,0.0,0.68
1387,Amadou Koné,Reims,MF,0.14,1.95
1388,Ismaël Koné,Marseille,"MF,FW",0.0,1.5
1389,Ismaël Koné,Rennes,MF,0.19,1.92
1390,Manu Koné,Roma,MF,0.21,2.34
1391,Ezri Konsa,Aston Villa,DF,0.09,0.74
1392,Teun Koopmeiners,Juventus,"MF,FW",0.14,2.84
1393,Kacper Koscierski,Bochum,DF,0.0,0.0
1394,Odilon Kossounou,Atalanta,DF,0.0,0.56
1395,Christian Kouamé,Fiorentina,"FW,MF",0.0,3.19
1396,Christian Kouamé,Empoli,"FW,MF",0.0,4.08
1397,Henri Koudossou,Augsburg,DF,0.24,2.17
1398,Konstantinos Koulierakis,Wolfsburg,DF,0.15,1.13
1399,Emmanuel Koum Mbondo,Marseille,DF,0.0,0.0
1400,Jules Koundé,Barcelona,DF,0.24,2.04
1401,Boubakar Kouyaté,Montpellier,DF,0.0,0.41
1402,Mateo Kovačić,Manchester City,MF,0.33,2.99
1403,Viktor Kovalenko,Empoli,MF,0.0,0.0
1404,Matej Kovar,Leverkusen,GK,0.0,0.0
1405,Mateusz Kowalski,Parma,MF,0.0,0.0
1406,Goduine Koyalipou,Lens,FW,0.1,2.64
1407,Caleb Kporha,Crystal Palace,DF,0.0,0.0
1408,Emil Krafth,Newcastle Utd,DF,0.0,0.79
1409,Alex Král,Espanyol,MF,0.03,1.39
1410,Andrej Kramarić,Hoffenheim,"MF,FW",0.46,3.32
1411,Frans Krätzig,Heidenheim,"DF,MF",0.15,3.33
1412,Frans Krätzig,Stuttgart,DF,0.0,0.0
