,Player,Squad,Pos,GCA90,SCA90
285,Raoul Bellanova,Atalanta,DF,0.41,2.1
286,Jean-Ricner Bellegarde,Wolves,"MF,FW",0.59,3.06
287,Héctor Bellerín,Betis,DF,0.31,1.86
288,Jude Bellingham,Real Madrid,MF,0.47,3.8
289,Jeanuël Belocian,Leverkusen,"DF,MF",0.0,1.34
290,Andrea Belotti,Como,FW,0.0,2.13
291,Fran Beltrán,Celta Vigo,MF,0.15,1.6
292,Lucas Beltrán,Fiorentina,"FW,MF",0.41,2.9
293,Eliesse Ben Seghir,Monaco,"MF,FW",0.36,3.96
294,Carlos Benavídez,Alavés,MF,0.56,2.04
295,Adrian Benedyczak,Parma,"FW,MF",0.0,1.26
296,László Bénes,Union Berlin,"MF,FW",0.15,4.58
297,Iker Benito,Osasuna,"FW,MF",0.0,2.43
298,Ismaël Bennacer,Milan,MF,0.3,3.6
299,Ismaël Bennacer,Marseille,MF,0.56,3.48
300,Saïd Benrahma,Lyon,"FW,MF",0.74,3.31
301,Ramy Bensebaini,Dortmund,DF,0.45,1.74
302,Nabil Bentaleb,Lille,MF,0.0,1.09
303,Rodrigo Bentancur,Tottenham,MF,0.16,2.46
304,Daniel Bentley,Wolves,GK,0.0,0.0
305,Lucas Beraldo,Paris S-G,DF,0.13,0.98
306,Yuri Berchiche,Athletic Club,DF,0.09,1.76
307,Álex Berenguer,Athletic Club,"FW,MF",0.54,3.77
308,Sander Berge,Fulham,MF,0.08,1.94
309,Lucas Bergvall,Tottenham,MF,0.3,1.63
310,Medon Berisha,Lecce,MF,0.25,3.64
311,Mergim Berisha,Hoffenheim,"FW,MF",0.27,1.35
312,Mergim Berisha,Augsburg,FW,0.0,2.25
313,Adrian Bernabe,Parma,MF,0.25,3.59
314,Marc Bernal,Barcelona,MF,0.0,0.37
315,Bernardo,Bochum,DF,0.0,1.11
316,Juan Bernat,Villarreal,"DF,MF",0.42,3.4
317,Juan Bernat,Getafe,"MF,DF",0.13,1.29
318,Maxime Bernauer,Saint-Étienne,DF,0.0,1.0
319,Antoine Bernede,Hellas Verona,MF,0.15,3.33
320,Alexander Bernhardsson,Holstein Kiel,"FW,MF",0.5,2.57
321,Victor Bernth Kristiansen,Leicester City,DF,0.11,1.52
322,Matúš Bero,Bochum,MF,0.25,4.21
323,Juan Berrocal,Getafe,DF,0.08,0.51
324,Dimitry Bertaud,Montpellier,GK,0.0,0.0
325,Jan-Niklas Beste,Freiburg,"FW,MF",0.42,2.11
326,Beto,Everton,FW,0.06,1.52
327,Sam Beukema,Bologna,DF,0.18,1.08
328,Alessandro Bianco,Monza,MF,0.0,1.32
329,Alessandro Bianco,Fiorentina,MF,0.0,0.0
330,Mika Biereth,Monaco,FW,0.29,2.78
331,Jaka Bijol,Udinese,DF,0.03,0.91
332,El Bilal Touré,Stuttgart,"FW,MF",0.25,2.78
333,Philip Billing,Bournemouth,MF,0.0,7.83
334,Philip Billing,Napoli,MF,0.46,3.65
335,Cristiano Biraghi,Torino,DF,0.0,3.19
336,Cristiano Biraghi,Fiorentina,DF,0.0,1.66
337,Samuele Birindelli,Monza,"DF,MF",0.12,2.15
338,Tom Bischof,Hoffenheim,"MF,FW",0.25,4.12
339,Yves Bissouma,Tottenham,MF,0.0,1.02
340,Leonardo Bittencourt,Werder Bremen,MF,0.46,3.57
341,Emmanuel Biumla,Angers,DF,0.0,0.27
342,Marco Bizot,Brest,GK,0.0,0.06
343,Bjarki Bjarkason,Venezia,"DF,MF",0.0,0.55
344,Antonio Blanco,Alavés,MF,0.03,1.49
345,Ludovic Blas,Rennes,"MF,FW",0.63,4.2
346,Daley Blind,Girona,DF,0.23,1.52
347,Myron Boadu,Bochum,FW,0.26,2.59
348,Augustine Boakye,Saint-Étienne,"FW,MF",0.12,4.3
349,Oscar Bobb,Manchester City,FW,0.0,11.25
350,Mathéo Bodmer,Le Havre,MF,0.0,0.0
351,Sacha Boey,Bayern Munich,DF,0.46,1.67
352,Jeremie Boga,Nice,"MF,FW",0.26,4.36
353,Lamare Bogarde,Aston Villa,"DF,MF",0.19,1.89
354,Emil Bohinen,Genoa,MF,0.0,2.69
355,Adama Boiro,Athletic Club,"DF,FW",0.0,1.31
356,Willy Boly,Nott'ham Forest,DF,0.0,0.0
357,Moïse Bombito,Nice,DF,0.16,0.74
358,Warren Bondo,Monza,MF,0.06,1.45
359,Warren Bondo,Milan,MF,0.0,0.56
360,Victor Boniface,Leverkusen,FW,0.27,2.86
361,Kevin Bonifazi,Lecce,DF,0.0,0.0
362,Ange-Yoan Bonny,Parma,FW,0.28,2.39
363,Sebastiaan Bornauw,Wolfsburg,DF,0.11,0.46
364,Sven Botman,Newcastle Utd,DF,0.0,0.87
365,Saïmon Bouabré,Monaco,"MF,FW",0.93,0.93
366,Ayyoub Bouaddi,Lille,MF,0.16,1.1
367,Badredine Bouanani,Nice,"MF,FW",0.74,3.85
368,Benjamin Bouchouari,Saint-Étienne,MF,0.16,2.71
369,Hicham Boudaoui,Nice,MF,0.26,2.4
370,Carlo Boukhalfa,St. Pauli,MF,0.11,1.97
371,Justin Bourgault,Brest,DF,0.74,1.49
372,Benjamin Bourigeaud,Rennes,MF,0.0,2.25
373,Edoardo Bove,Fiorentina,"MF,FW",0.74,3.27
374,Jarrod Bowen,West Ham,"FW,MF",0.45,3.42
375,Enzo Boyomo,Osasuna,DF,0.03,0.39
376,Enzo Boyomo,Valladolid,DF,0.0,0.33
377,Domagoj Bradarić,Hellas Verona,DF,0.05,2.19
378,Conor Bradley,Liverpool,DF,0.48,2.27
379,Bilal Brahimi,Nice,MF,0.0,1.18
380,Julian Brandt,Dortmund,MF,0.55,3.99
381,Jarrad Branthwaite,Everton,DF,0.07,0.47
382,Darko Brašanac,Leganés,MF,0.11,1.89
383,Lilian Brassier,Marseille,DF,0.0,0.35
384,Lilian Brassier,Rennes,DF,0.07,1.6
385,Matthias Braunöder,Como,MF,0.0,1.34
386,Iker Bravo,Udinese,"FW,MF",0.0,1.85
387,James Bree,Southampton,DF,0.08,1.34
388,Tim Breithaupt,Augsburg,MF,1.5,2.25
389,Gleison Bremer,Juventus,DF,0.0,0.5
390,Brenner,Udinese,"MF,FW",0.23,2.56
391,Ben Brereton,Southampton,FW,0.0,1.8
392,Marco Brescianini,Atalanta,MF,0.55,2.37
393,Maximilian Breunig,Heidenheim,"FW,MF",0.0,2.06
394,Anthony Briançon,Saint-Étienne,DF,0.0,0.0
395,Nathan Broadhead,Ipswich Town,"MF,FW",0.26,2.82
396,Armando Broja,Everton,FW,0.0,1.89
397,David Brooks,Bournemouth,"FW,MF",0.19,4.31
