,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1171,1127,Mauro Icardi,ar ARG,FW,Inter,it Serie A,24,1993,34,34,2958,32.9,29,1,30,23,6,7,2,0,21.2,15.7,4.0,19.7,30,38,164,0.88,0.03,0.91,0.70,0.73,0.65,0.12,0.77,0.48,0.60,Matches
1172,1128,Brown Ideye,ng NGA,FW,Málaga,es La Liga,28,1988,13,8,733,8.1,1,0,1,1,0,0,2,0,1.7,1.7,0.4,2.1,5,12,44,0.12,0.00,0.12,0.12,0.12,0.21,0.04,0.25,0.21,0.25,Matches
1173,1129,Edgar Ié,gw GNB,DF,Lille,fr Ligue 1,23,1994,35,35,3146,35.0,1,0,1,1,0,0,6,0,0.9,0.9,0.5,1.3,55,131,53,0.03,0.00,0.03,0.03,0.03,0.02,0.01,0.04,0.02,0.04,Matches
1174,1130,Julien Ielsch,fr FRA,"MF,DF",Amiens,fr Ligue 1,34,1983,11,7,616,6.8,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,5,27,13,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches
1175,1131,Pietro Iemmello,it ITA,FW,Benevento,it Serie A,25,1992,16,12,880,9.8,2,1,3,1,1,1,0,0,3.2,2.4,1.5,3.8,18,11,50,0.20,0.10,0.31,0.10,0.20,0.33,0.15,0.47,0.24,0.39,Matches
1176,1132,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,eng Premier League,20,1996,21,7,830,9.2,3,3,6,3,0,0,2,0,4.1,4.1,2.3,6.3,21,26,54,0.33,0.33,0.65,0.33,0.65,0.44,0.25,0.69,0.44,0.69,Matches
1177,1133,Jordan Ikoko,cd COD,DF,Guingamp,fr Ligue 1,23,1994,28,26,2420,26.9,0,2,2,0,0,0,6,0,1.0,1.0,1.7,2.6,76,105,105,0.00,0.07,0.07,0.00,0.07,0.04,0.06,0.10,0.04,0.10,Matches
1178,1134,Jonathan Ikone,fr FRA,"MF,FW",Montpellier,fr Ligue 1,19,1998,18,12,998,11.1,1,1,2,1,0,0,0,0,0.9,0.9,1.4,2.3,48,40,85,0.09,0.09,0.18,0.09,0.18,0.08,0.12,0.21,0.08,0.21,Matches
1179,1135,Josip Iličić,si SVN,"MF,FW",Atalanta,it Serie A,29,1988,31,21,2002,22.2,11,6,17,9,2,2,3,0,9.0,7.5,7.2,14.7,107,164,240,0.49,0.27,0.76,0.40,0.67,0.41,0.33,0.73,0.34,0.66,Matches
1180,1136,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,27,1990,36,35,3163,35.1,7,5,12,7,0,0,10,1,2.9,2.9,2.3,5.1,71,305,33,0.20,0.14,0.34,0.20,0.34,0.08,0.06,0.15,0.08,0.15,Matches
1181,1137,Jules Iloki,fr FRA,"MF,FW",Nantes,fr Ligue 1,25,1992,26,14,1421,15.8,0,0,0,0,0,0,1,0,1.7,1.7,2.4,4.1,41,45,147,0.00,0.00,0.00,0.00,0.00,0.11,0.15,0.26,0.11,0.26,Matches
1182,1138,Stefan Ilsanker,at AUT,"DF,MF",RB Leipzig,de Bundesliga,28,1989,21,14,1289,14.3,0,1,1,0,0,0,3,1,0.8,0.8,0.9,1.7,10,97,21,0.00,0.07,0.07,0.00,0.07,0.06,0.06,0.12,0.06,0.12,Matches
1183,1139,Giannelli Imbula,cd COD,MF,Toulouse,fr Ligue 1,24,1992,28,28,2243,24.9,1,1,2,1,0,0,4,0,1.6,1.6,2.1,3.7,74,159,40,0.04,0.04,0.08,0.04,0.08,0.06,0.08,0.15,0.06,0.15,Matches
1184,1140,Ciro Immobile,it ITA,FW,Lazio,it Serie A,27,1990,33,33,2683,29.8,29,6,35,22,7,8,3,1,20.7,14.4,6.6,20.9,77,47,259,0.97,0.20,1.17,0.74,0.94,0.69,0.22,0.91,0.48,0.70,Matches
1185,1141,Emmanuel Imorou,bj BEN,DF,Caen,fr Ligue 1,28,1988,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1186,1142,Tom Ince,eng ENG,"MF,FW",Huddersfield,eng Premier League,25,1992,33,27,2452,27.2,2,0,2,2,0,0,0,0,6.4,6.4,1.4,7.8,57,60,125,0.07,0.00,0.07,0.07,0.07,0.24,0.05,0.29,0.24,0.29,Matches
1187,1143,Svante Ingelsson,se SWE,MF,Udinese,it Serie A,19,1998,7,3,325,3.6,1,1,2,1,0,0,0,0,0.4,0.4,0.2,0.5,8,11,13,0.28,0.28,0.55,0.28,0.55,0.10,0.05,0.15,0.10,0.15,Matches
1188,1144,Roberto Inglese,it ITA,FW,Chievo,it Serie A,25,1991,34,33,2782,30.9,12,1,13,11,1,2,3,0,8.8,7.3,2.4,9.6,46,44,211,0.39,0.03,0.42,0.36,0.39,0.29,0.08,0.36,0.23,0.31,Matches
1189,1145,Danny Ings,eng ENG,FW,Liverpool,eng Premier League,25,1992,8,3,267,3.0,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.3,2,9,23,0.34,0.00,0.34,0.34,0.34,0.38,0.05,0.42,0.38,0.42,Matches
1190,1146,Andrés Iniesta,es ESP,MF,Barcelona,es La Liga,33,1984,30,25,1824,20.3,1,2,3,1,0,0,1,0,0.6,0.6,1.8,2.4,71,219,75,0.05,0.10,0.15,0.05,0.15,0.03,0.09,0.12,0.03,0.12,Matches
1191,1147,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,26,1991,37,36,3090,34.3,8,11,19,7,1,1,4,0,14.4,13.5,12.6,26.2,206,186,674,0.23,0.32,0.55,0.20,0.52,0.42,0.37,0.78,0.39,0.76,Matches
1192,1148,Emiliano Insúa,ar ARG,DF,Stuttgart,de Bundesliga,28,1989,25,24,2106,23.4,0,2,2,0,0,0,2,0,0.4,0.4,1.9,2.3,68,63,91,0.00,0.09,0.09,0.00,0.09,0.02,0.08,0.10,0.02,0.10,Matches
1193,1149,Pablo Insua,es ESP,DF,Schalke 04,de Bundesliga,23,1993,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1194,1150,Takashi Inui,jp JPN,"MF,FW",Eibar,es La Liga,29,1988,34,31,2631,29.2,5,2,7,5,0,0,4,0,4.6,4.6,1.9,6.5,99,68,217,0.17,0.07,0.24,0.17,0.24,0.16,0.06,0.22,0.16,0.22,Matches
1195,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1196,1151,Artur Ioniță,md MDA,MF,Cagliari,it Serie A,26,1990,36,31,2669,29.7,0,2,2,0,0,0,4,0,2.1,2.1,1.7,3.9,27,83,121,0.00,0.07,0.07,0.00,0.07,0.07,0.06,0.13,0.07,0.13,Matches
1197,1152,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,9,8,765,8.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1198,1153,Stephen Ireland,ie IRL,"MF,FW",Stoke City,eng Premier League,30,1986,4,1,131,1.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0,7,5,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.28,0.25,0.28,Matches
1199,1154,Carlos Isaac,es ESP,DF,Atlético Madrid,es La Liga,19,1998,1,1,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,1,7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
1200,1155,Alexander Isak,se SWE,"FW,MF",Dortmund,de Bundesliga,17,1999,5,1,119,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,3,4,10,0.00,0.00,0.00,0.00,0.00,0.56,0.13,0.69,0.56,0.69,Matches
1201,1156,Isco,es ESP,MF,Real Madrid,es La Liga,25,1992,30,21,1774,19.7,7,7,14,7,0,0,1,0,5.4,5.4,6.3,11.8,136,220,229,0.36,0.36,0.71,0.36,0.71,0.28,0.32,0.60,0.28,0.60,Matches
1202,1157,Tatsuya Ito,jp JPN,"MF,FW",Hamburger SV,de Bundesliga,20,1997,20,12,1012,11.2,0,2,2,0,0,0,1,0,0.9,0.9,1.2,2.1,60,45,111,0.00,0.18,0.18,0.00,0.18,0.08,0.11,0.19,0.08,0.19,Matches
1203,1158,Gian-Luca Itter,de GER,DF,Wolfsburg,de Bundesliga,18,1999,5,5,412,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,12,13,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1204,1159,Manuel Iturra,cl CHI,MF,Málaga,es La Liga,33,1984,20,18,1583,17.6,0,0,0,0,0,0,6,0,0.4,0.4,0.7,1.2,5,56,11,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
1205,1160,Ander Iturraspe,es ESP,MF,Athletic Club,es La Liga,28,1989,30,20,1904,21.2,0,0,0,0,0,0,7,0,0.2,0.2,2.0,2.2,12,124,25,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
1206,1161,Ivi,es ESP,"MF,FW",Levante,es La Liga,23,1994,29,17,1762,19.6,4,3,7,3,1,1,3,0,2.7,1.9,2.6,4.5,62,82,119,0.20,0.15,0.36,0.15,0.31,0.14,0.13,0.27,0.10,0.23,Matches
1207,1162,Alex Iwobi,ng NGA,"MF,FW",Arsenal,eng Premier League,21,1996,26,22,1830,20.3,3,5,8,3,0,0,1,0,3.9,3.9,3.5,7.3,93,138,146,0.15,0.25,0.39,0.15,0.39,0.19,0.17,0.36,0.19,0.36,Matches
1208,1163,José Izquierdo,co COL,"MF,FW",Brighton,eng Premier League,25,1992,32,23,1984,22.0,5,3,8,5,0,0,2,0,3.8,3.8,2.2,5.9,67,36,161,0.23,0.14,0.36,0.23,0.36,0.17,0.10,0.27,0.17,0.27,Matches
1209,1164,Armando Izzo,it ITA,DF,Genoa,it Serie A,25,1992,16,16,1387,15.4,1,0,1,1,0,0,2,0,0.9,0.9,0.2,1.1,24,57,12,0.06,0.00,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches
1210,1165,Koo Ja-cheol,kr KOR,MF,Augsburg,de Bundesliga,28,1989,28,23,2046,22.7,2,0,2,2,0,0,2,0,3.1,3.1,1.0,4.0,20,68,70,0.09,0.00,0.09,0.09,0.09,0.14,0.04,0.18,0.14,0.18,Matches
1211,1166,Paul Jaeckel,de GER,DF,Wolfsburg,de Bundesliga,19,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,6,6,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
1212,1167,Phil Jagielka,eng ENG,DF,Everton,eng Premier League,34,1982,25,23,2065,22.9,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,4,53,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
1213,1168,Kilian Jakob,de GER,FW,Augsburg,de Bundesliga,19,1998,1,1,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,4,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.25,0.25,Matches
1214,1169,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1215,1170,Christophe Jallet,fr FRA,DF,Nice,fr Ligue 1,33,1983,15,13,1174,13.0,0,0,0,0,0,0,4,0,0.2,0.2,0.7,0.9,32,78,91,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
1216,1171,Ablie Jallow,gm GAM,FW,Metz,fr Ligue 1,18,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,2,2,10,0.00,0.00,0.00,0.00,0.00,0.04,0.63,0.67,0.04,0.67,Matches
1217,1172,Matty James,eng ENG,MF,Leicester City,eng Premier League,26,1991,13,11,993,11.0,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.5,7,28,14,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
1218,1173,Vasilije Janjicic,ch SUI,MF,Hamburger SV,de Bundesliga,18,1998,7,3,320,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Matches
1219,1174,Christoph Janker,de GER,"DF,MF",Augsburg,de Bundesliga,32,1985,5,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1220,1175,Saidy Janko,gm GAM,DF,Saint-Étienne,fr Ligue 1,21,1995,21,16,1422,15.8,0,0,0,0,0,0,4,0,0.1,0.1,0.8,1.0,58,61,79,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
1221,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1222,1176,Jakub Jankto,cz CZE,"MF,FW",Udinese,it Serie A,21,1996,36,28,2654,29.5,4,4,8,4,0,0,5,0,4.3,4.3,5.9,10.2,78,140,199,0.14,0.14,0.27,0.14,0.27,0.14,0.20,0.34,0.14,0.34,Matches
1223,1177,Daryl Janmaat,nl NED,DF,Watford,eng Premier League,28,1989,23,21,1820,20.2,3,0,3,3,0,0,3,0,1.8,1.8,1.0,2.8,29,107,55,0.15,0.00,0.15,0.15,0.15,0.09,0.05,0.14,0.09,0.14,Matches
1224,1178,Vincent Janssen,nl NED,DF,Tottenham,eng Premier League,23,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1225,1179,Tony Jantschke,de GER,DF,Gladbach,de Bundesliga,27,1990,13,8,727,8.1,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,14,33,18,0.00,0.12,0.12,0.00,0.12,0.01,0.02,0.03,0.01,0.03,Matches
1226,1180,Adnan Januzaj,be BEL,FW,Real Sociedad,es La Liga,22,1995,28,18,1573,17.5,3,5,8,3,0,0,4,0,6.3,6.3,5.5,11.8,104,68,156,0.17,0.29,0.46,0.17,0.46,0.36,0.32,0.68,0.36,0.68,Matches
1227,1181,Nicolas Janvier,fr FRA,MF,Rennes,fr Ligue 1,18,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1228,1182,Paweł Jaroszyński,pl POL,DF,Chievo,it Serie A,22,1994,11,9,809,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.4,15,24,32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
1229,1183,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1230,1184,Jason,es ESP,"FW,MF",Levante,es La Liga,23,1994,27,22,1786,19.8,1,2,3,1,0,0,2,0,2.6,2.6,2.7,5.3,48,55,137,0.05,0.10,0.15,0.05,0.15,0.13,0.14,0.27,0.13,0.27,Matches
1231,1185,Bakery Jatta,gm GAM,"MF,FW",Hamburger SV,de Bundesliga,19,1998,10,3,297,3.3,0,1,1,0,0,0,1,0,0.9,0.9,0.1,1.0,11,5,31,0.00,0.30,0.30,0.00,0.30,0.27,0.04,0.31,0.27,0.31,Matches
1232,1186,Corentin Jean,fr FRA,"FW,MF",Toulouse,fr Ligue 1,22,1995,33,18,1688,18.8,1,2,3,1,0,0,3,0,2.0,2.0,2.8,4.7,53,41,150,0.05,0.11,0.16,0.05,0.16,0.11,0.15,0.25,0.11,0.25,Matches
1233,1187,Benjamin Jeannot,fr FRA,FW,Dijon,fr Ligue 1,25,1992,24,14,1407,15.6,4,1,5,4,0,0,4,0,3.4,3.4,1.5,4.9,11,34,81,0.26,0.06,0.32,0.26,0.32,0.22,0.10,0.31,0.22,0.31,Matches
1234,1188,Tin Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,21,1995,10,6,599,6.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,12,40,8,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
1235,1189,Jemerson,br BRA,DF,Monaco,fr Ligue 1,24,1992,33,33,2855,31.7,2,0,2,2,0,0,7,1,1.9,1.9,0.2,2.1,9,59,1,0.06,0.00,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches
1236,1190,Jesé,es ESP,"FW,MF",Stoke City,eng Premier League,24,1993,13,8,614,6.8,1,1,2,1,0,0,0,0,0.9,0.9,0.7,1.6,19,14,51,0.15,0.15,0.29,0.15,0.29,0.13,0.10,0.23,0.13,0.23,Matches
1237,1191,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,20,1997,29,19,1668,18.5,13,3,16,13,0,2,6,0,13.8,12.2,2.1,14.3,28,49,181,0.70,0.16,0.86,0.70,0.86,0.74,0.11,0.86,0.66,0.77,Matches
1238,1192,Juan Jesus,br BRA,DF,Roma,it Serie A,26,1991,22,18,1658,18.4,0,0,0,0,0,0,4,1,0.5,0.5,0.2,0.6,7,73,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
1239,1193,Álvaro Jiménez,es ESP,"MF,FW",Getafe,es La Liga,22,1995,13,5,529,5.9,1,1,2,1,0,0,4,1,0.5,0.5,0.7,1.2,18,17,40,0.17,0.17,0.34,0.17,0.34,0.09,0.12,0.20,0.09,0.20,Matches
1240,1194,Joaquín,es ESP,"MF,FW",Betis,es La Liga,36,1981,35,29,2479,27.5,4,7,11,4,0,0,7,0,3.8,3.8,6.2,10.0,88,138,183,0.15,0.25,0.40,0.15,0.40,0.14,0.22,0.36,0.14,0.36,Matches
1241,1195,Aron Jóhannsson,us USA,"MF,FW",Werder Bremen,de Bundesliga,26,1990,12,2,276,3.1,1,0,1,1,0,0,0,0,1.5,1.5,1.0,2.4,5,13,24,0.33,0.00,0.33,0.33,0.33,0.47,0.32,0.79,0.47,0.79,Matches
1242,1196,Fabian Johnson,us USA,"MF,DF",Gladbach,de Bundesliga,29,1987,10,5,465,5.2,1,0,1,1,0,0,0,0,1.0,1.0,0.7,1.7,5,8,15,0.19,0.00,0.19,0.19,0.19,0.19,0.14,0.33,0.19,0.33,Matches
1243,1197,Glen Johnson,eng ENG,DF,Stoke City,eng Premier League,32,1984,9,7,547,6.1,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,5,23,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
1244,1198,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1245,1199,Miloš Jojić,rs SRB,MF,Köln,de Bundesliga,25,1992,25,17,1459,16.2,2,5,7,2,0,0,3,0,2.7,2.7,6.2,8.9,34,72,76,0.12,0.31,0.43,0.12,0.43,0.16,0.39,0.55,0.16,0.55,Matches
1246,1200,Jonathas,br BRA,FW,Hannover 96,de Bundesliga,28,1989,12,7,634,7.0,3,3,6,2,1,1,2,0,2.9,2.1,1.6,3.7,8,11,34,0.43,0.43,0.85,0.28,0.71,0.41,0.23,0.64,0.29,0.53,Matches
1247,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1248,1201,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,25,1992,23,23,1973,21.9,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,13,45,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
1249,1202,Nigel de Jong,nl NED,MF,Mainz 05,de Bundesliga,32,1984,11,10,737,8.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,32,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1250,1203,Jony,es ESP,"FW,MF",Málaga,es La Liga,26,1991,5,1,217,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,11,10,29,0.00,0.00,0.00,0.00,0.00,0.12,0.11,0.23,0.12,0.23,Matches
1251,1204,Joan Jordán,es ESP,MF,Eibar,es La Liga,23,1994,35,25,2427,27.0,6,4,10,5,1,2,2,1,4.1,2.6,3.1,5.7,42,130,109,0.22,0.15,0.37,0.19,0.33,0.15,0.12,0.27,0.10,0.21,Matches
1252,1205,Jorge,br BRA,DF,Monaco,fr Ligue 1,21,1996,22,22,1920,21.3,1,2,3,1,0,0,8,0,0.2,0.2,1.9,2.1,60,84,115,0.05,0.09,0.14,0.05,0.14,0.01,0.09,0.10,0.01,0.10,Matches
1253,1206,Jorginho,it ITA,MF,Napoli,it Serie A,25,1991,33,33,2650,29.4,2,3,5,1,1,2,5,0,2.1,0.4,4.1,4.6,36,398,32,0.07,0.10,0.17,0.03,0.14,0.07,0.14,0.21,0.01,0.16,Matches
1254,1207,Willian José,br BRA,FW,Real Sociedad,es La Liga,25,1991,34,32,2770,30.8,15,4,19,12,3,4,4,0,11.1,7.9,4.6,12.5,22,59,175,0.49,0.13,0.62,0.39,0.52,0.36,0.15,0.51,0.26,0.41,Matches
1255,1208,Joselu,es ESP,FW,Newcastle Utd,eng Premier League,27,1990,30,19,1712,19.0,4,1,5,4,0,1,2,0,6.0,5.2,1.2,6.4,5,41,107,0.21,0.05,0.26,0.21,0.26,0.31,0.06,0.38,0.27,0.34,Matches
1256,1209,Yann Jouffre,fr FRA,"FW,MF",Metz,fr Ligue 1,33,1984,4,3,275,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,4,18,23,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17,Matches
1257,1210,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,16,16,1440,16.0,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,15,51,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
1258,1211,Stevan Jovetić,me MNE,FW,Monaco,fr Ligue 1,27,1989,15,7,753,8.4,8,1,9,8,0,0,1,0,5.4,5.4,0.4,5.8,19,32,62,0.96,0.12,1.08,0.96,1.08,0.65,0.05,0.70,0.65,0.70,Matches
1259,1212,Luka Jović,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1997,22,9,936,10.4,8,1,9,8,0,0,2,0,8.1,8.1,1.3,9.4,8,13,71,0.77,0.10,0.87,0.77,0.87,0.78,0.12,0.90,0.78,0.90,Matches
1260,1213,Jozabed,es ESP,MF,Celta Vigo,es La Liga,26,1991,24,18,1473,16.4,0,4,4,0,0,0,7,0,1.7,1.7,2.4,4.2,24,111,60,0.00,0.24,0.24,0.00,0.24,0.11,0.15,0.26,0.11,0.26,Matches
1261,1214,Juanfran,es ESP,DF,La Coruña,es La Liga,28,1988,35,34,3057,34.0,0,1,1,0,0,0,3,0,1.3,1.3,3.9,5.2,96,157,164,0.00,0.03,0.03,0.00,0.03,0.04,0.11,0.15,0.04,0.15,Matches
1262,1215,Juanfran,es ESP,DF,Atlético Madrid,es La Liga,32,1985,17,15,1307,14.5,0,1,1,0,0,0,3,0,0.1,0.1,1.8,1.8,33,44,83,0.00,0.07,0.07,0.00,0.07,0.01,0.12,0.13,0.01,0.13,Matches
1263,1216,Juankar,es ESP,DF,Málaga,es La Liga,27,1990,10,9,784,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.6,0.6,16,32,29,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.07,0.01,0.07,Matches
1264,1217,Juanmi,es ESP,"FW,MF",Real Sociedad,es La Liga,24,1993,30,18,1489,16.5,8,2,10,8,0,0,3,0,5.2,5.2,0.8,6.0,21,15,100,0.48,0.12,0.60,0.48,0.60,0.31,0.05,0.36,0.31,0.36,Matches
1265,1218,Juanpe,es ESP,DF,Girona,es La Liga,26,1991,35,34,3065,34.1,5,1,6,5,0,0,7,0,2.1,2.1,0.9,3.0,3,103,4,0.15,0.03,0.18,0.15,0.18,0.06,0.03,0.09,0.06,0.09,Matches
1266,1219,Juanpi,ve VEN,"MF,FW",Málaga,es La Liga,23,1994,16,5,610,6.8,0,2,2,0,0,0,1,0,0.8,0.8,1.4,2.2,11,26,34,0.00,0.30,0.30,0.00,0.30,0.11,0.21,0.32,0.11,0.32,Matches
1267,1220,Mariano Julio Izco,ar ARG,MF,Crotone,it Serie A,34,1983,5,2,178,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1268,1221,Christopher Jullien,fr FRA,DF,Toulouse,fr Ligue 1,24,1993,30,30,2605,28.9,1,2,3,1,0,0,7,0,3.0,3.0,0.7,3.7,8,103,10,0.03,0.07,0.10,0.03,0.10,0.10,0.02,0.13,0.10,0.13,Matches
1269,1222,David Juncà,es ESP,DF,Eibar,es La Liga,23,1993,15,10,901,10.0,0,2,2,0,0,0,3,0,0.1,0.1,1.6,1.7,27,61,36,0.00,0.20,0.20,0.00,0.20,0.01,0.16,0.17,0.01,0.17,Matches
