,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
52,51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,2,208,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,2,6,2,0.00,0.43,0.43,0.00,0.43,0.03,0.16,0.19,0.03,0.19,Matches
53,52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,13,1178,13.1,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,12,109,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
54,53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
55,54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,9,8,628,7.0,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,2,8,29,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Matches
56,55,Iván Alejo,es ESP,"MF,FW",Eibar,es La Liga,22,1995,22,14,1102,12.2,1,3,4,1,0,0,5,0,0.5,0.5,2.1,2.6,71,20,125,0.08,0.25,0.33,0.08,0.33,0.04,0.17,0.21,0.04,0.21,Matches
57,56,Alexander,ar ARG,"MF,FW",Leganés,es La Liga,28,1988,13,13,1060,11.8,2,2,4,1,1,1,1,0,2.2,1.4,2.5,3.9,17,26,72,0.17,0.17,0.34,0.08,0.25,0.19,0.21,0.40,0.12,0.33,Matches
58,57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,18,1573,17.5,1,1,2,1,0,0,3,0,1.0,1.0,2.6,3.6,39,94,126,0.06,0.06,0.11,0.06,0.11,0.05,0.15,0.21,0.05,0.21,Matches
59,58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,25,2184,24.3,1,0,1,1,0,0,6,0,1.2,1.2,0.3,1.5,5,34,11,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Matches
60,59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,38,32,2850,31.7,4,5,9,4,0,0,2,0,3.8,3.8,3.6,7.3,83,186,135,0.13,0.16,0.28,0.13,0.28,0.12,0.11,0.23,0.12,0.23,Matches
62,61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,36,36,3139,34.9,2,6,8,2,0,0,8,0,1.8,1.8,2.8,4.6,37,165,89,0.06,0.17,0.23,0.06,0.23,0.05,0.08,0.13,0.05,0.13,Matches
63,62,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,21,1996,36,34,2958,32.9,9,10,19,9,0,0,7,0,9.1,9.1,8.2,17.3,100,181,359,0.27,0.30,0.58,0.27,0.58,0.28,0.25,0.53,0.28,0.53,Matches
64,63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,34,30,2781,30.9,2,1,3,2,0,0,3,0,1.1,1.1,0.5,1.7,19,114,14,0.06,0.03,0.10,0.06,0.10,0.04,0.02,0.05,0.04,0.05,Matches
65,64,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,65,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,26,1990,33,33,2855,31.7,7,2,9,7,0,0,6,0,4.1,4.1,2.8,7.0,78,103,261,0.22,0.06,0.28,0.22,0.28,0.13,0.09,0.22,0.13,0.22,Matches
67,66,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,12,2,267,3.0,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.9,7,13,30,0.34,0.34,0.67,0.34,0.67,0.14,0.17,0.31,0.14,0.31,Matches
68,67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1476,16.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,8,7,675,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,10,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
70,69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,25,23,2063,22.9,1,7,8,1,0,0,7,1,1.4,1.4,5.0,6.3,76,168,144,0.04,0.31,0.35,0.04,0.35,0.06,0.22,0.28,0.06,0.28,Matches
71,70,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,24,1993,30,30,2405,26.7,0,0,0,0,0,0,3,1,0.9,0.9,0.4,1.3,18,114,19,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
72,71,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,1.20,1.20,Matches
73,72,Morgan Amalfitano,fr FRA,"MF,FW",Rennes,fr Ligue 1,32,1985,14,10,746,8.3,0,0,0,0,0,0,2,2,1.0,1.0,0.5,1.5,16,24,34,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,Matches
74,73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,33,31,2703,30.0,0,3,3,0,0,0,5,0,0.3,0.3,1.8,2.2,50,146,46,0.00,0.10,0.10,0.00,0.10,0.01,0.06,0.07,0.01,0.07,Matches
75,74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,8,6,487,5.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,5,14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,75,Jordi Amat,id IDN,"DF,MF",Betis,es La Liga,25,1992,25,24,2045,22.7,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,13,101,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
77,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
78,76,Amath,sn SEN,"MF,FW",Getafe,es La Liga,21,1996,37,36,2859,31.8,3,3,6,3,0,0,9,0,4.4,4.4,2.7,7.2,66,66,158,0.09,0.09,0.19,0.09,0.19,0.14,0.09,0.23,0.14,0.23,Matches
79,77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,27,24,2193,24.4,0,5,5,0,0,0,7,0,0.6,0.6,2.0,2.6,70,90,83,0.00,0.21,0.21,0.00,0.21,0.02,0.08,0.11,0.02,0.11,Matches
80,78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,36,35,3154,35.0,1,1,2,1,0,0,3,1,1.4,1.4,1.1,2.4,41,107,83,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches
82,80,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,20,1996,28,19,1744,19.4,2,3,5,2,0,0,4,0,2.9,2.9,3.4,6.4,51,89,116,0.10,0.15,0.26,0.10,0.26,0.15,0.18,0.33,0.15,0.33,Matches
83,81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,3,3,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,7,22,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Matches
85,83,Nordin Amrabat,ma MAR,"FW,MF",Leganés,es La Liga,30,1987,30,17,1623,18.0,2,4,6,2,0,0,6,1,3.7,3.7,3.2,6.9,87,50,146,0.11,0.22,0.33,0.11,0.33,0.20,0.18,0.38,0.20,0.38,Matches
86,84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,27,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
88,86,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,24,1993,21,9,1162,12.9,4,6,10,4,0,0,0,0,2.8,2.8,4.3,7.1,98,83,140,0.31,0.46,0.77,0.31,0.77,0.22,0.33,0.55,0.22,0.55,Matches
89,87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,29,16,1636,18.2,7,3,10,7,0,1,6,0,11.4,10.6,0.9,11.5,41,11,144,0.39,0.17,0.55,0.39,0.55,0.63,0.05,0.68,0.58,0.63,Matches
90,88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,36.0,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
