Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
289,Jude Bellingham,eng ENG,MF,Real Madrid,es La Liga,21,2003,27.6,1881,32,239,910,752,110,1879,75,41,54.7,28,37.3,1229,6054,2818,74,61,14,54,43,1542,143,Matches
290,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,de Bundesliga,19,2005,0.8,44,2,9,20,15,1,44,1,1,100.0,0,0.0,16,89,39,0,2,0,2,0,32,1,Matches
291,Andrea Belotti,it ITA,FW,Como,it Serie A,30,1993,6.6,185,7,23,82,82,28,185,6,2,33.3,2,33.3,106,477,203,9,5,3,10,10,131,33,Matches
292,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,25,1999,26.9,1711,58,385,1088,246,14,1711,19,10,52.6,8,42.1,951,4555,2137,28,29,2,23,22,1209,29,Matches
293,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,it Serie A,23,2001,20.7,791,15,91,423,285,51,788,30,15,50.0,14,46.7,468,2320,853,23,18,7,41,41,592,94,Matches
294,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,fr Ligue 1,19,2005,19.4,1244,3,96,542,624,63,1242,96,35,36.5,55,57.3,843,5569,3024,85,83,25,59,35,988,170,Matches
295,Carlos Benavídez,uy URU,MF,Alavés,es La Liga,26,1998,5.4,292,18,83,167,47,2,292,6,4,66.7,1,16.7,147,625,283,4,2,1,5,0,161,5,Matches
296,Adrian Benedyczak,pl POL,"FW,MF",Parma,it Serie A,23,2000,2.4,79,7,17,35,27,4,79,2,0,0.0,2,100.0,44,176,80,3,2,0,5,3,60,12,Matches
297,László Bénes,sk SVK,"MF,FW",Union Berlin,de Bundesliga,26,1997,6.5,400,1,53,189,160,13,400,5,1,20.0,4,80.0,207,788,352,6,7,3,8,5,247,34,Matches
298,Iker Benito,es ESP,"FW,MF",Osasuna,es La Liga,21,2002,0.4,18,1,4,11,4,0,18,1,0,0.0,1,100.0,8,60,25,2,1,0,1,0,13,4,Matches
299,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,26,1997,3.3,249,7,48,151,50,1,249,10,9,90.0,1,10.0,156,971,406,8,4,0,3,3,199,12,Matches
300,Ismaël Bennacer,dz ALG,MF,Marseille,fr Ligue 1,26,1997,7.2,870,7,105,578,195,1,870,11,7,63.6,4,36.4,552,2435,1141,14,24,1,7,14,722,8,Matches
301,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,28,1995,8.2,447,2,44,169,240,34,447,29,8,27.6,20,69.0,286,1930,956,41,20,15,15,11,346,109,Matches
302,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,29,1995,22.5,1766,110,513,914,349,36,1766,18,5,27.8,11,61.1,941,3896,1924,26,32,2,16,6,1094,58,Matches
303,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,29,1994,3.7,277,15,83,149,46,2,277,0,0,,0,,130,520,252,2,3,1,2,4,203,5,Matches
304,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27,1997,18.3,1302,76,323,774,216,24,1302,19,9,47.4,8,42.1,764,3572,1508,28,24,5,19,20,848,34,Matches
305,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31,1993,2.0,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0,Matches
306,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,20,2003,22.3,2314,223,870,1372,78,15,2314,1,1,100.0,0,0.0,1395,5489,3292,9,15,0,10,2,1847,0,Matches
307,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34,1990,22.7,1631,74,454,884,305,16,1631,16,6,37.5,8,50.0,775,3774,2158,43,29,3,18,2,926,66,Matches
308,Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29,1995,26.0,1250,18,98,462,713,86,1249,82,33,40.2,41,50.0,643,4310,2050,65,40,27,52,50,809,216,Matches
309,Sander Berge,no NOR,MF,Fulham,eng Premier League,26,1998,24.7,1384,81,374,799,217,14,1384,20,11,55.0,6,30.0,804,4467,2065,29,25,2,15,16,892,9,Matches
310,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,18,2006,13.5,885,36,188,478,232,22,885,45,21,46.7,20,44.4,531,3392,1634,33,21,4,20,19,586,31,Matches
311,Medon Berisha,al ALB,MF,Lecce,it Serie A,20,2003,8.0,486,14,96,271,128,7,486,9,3,33.3,4,44.4,279,1600,877,13,7,3,10,1,315,17,Matches
312,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26,1998,3.7,93,5,11,35,47,12,93,8,3,37.5,5,62.5,60,195,78,2,3,1,6,3,69,18,Matches
313,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,26,1998,0.4,18,1,1,8,9,3,18,0,0,,0,,11,71,34,2,0,1,2,3,14,8,Matches
314,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23,2001,16.1,1140,40,253,655,247,8,1140,33,15,45.5,13,39.4,738,3703,2220,37,39,3,12,14,818,20,Matches
315,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2,Matches
