,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
262,253,Hatem Ben Arfa,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,33,1987,18.9,81,4.28,37,21,13,5,4,1,8,0.42,3,3,1,0,1,0,Matches
263,254,Salim Ben Seghir,fr FRA,DF,Nice,fr Ligue 1,17,2003,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
264,255,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,29,1990,29.0,95,3.28,70,0,9,10,5,1,16,0.55,12,0,0,3,1,0,Matches
265,256,Ahmad Benali,ly LBY,MF,Crotone,it Serie A,28,1992,13.5,31,2.30,22,4,2,0,2,1,1,0.07,1,0,0,0,0,0,Matches
266,257,Samy Benchamma,fr FRA,"DF,MF",Montpellier,fr Ligue 1,20,2000,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
267,258,Lars Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,10.4,17,1.63,17,0,0,0,0,0,4,0.38,4,0,0,0,0,0,Matches
268,259,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,31,1989,13.0,12,0.92,11,0,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches
269,260,Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,30,1990,17.5,30,1.71,22,0,2,3,3,0,7,0.40,6,0,0,0,1,0,Matches
270,261,László Bénes,sk SVK,MF,Augsburg,de Bundesliga,22,1997,7.3,26,3.55,12,8,1,1,4,0,1,0.14,0,1,0,0,0,0,Matches
271,262,László Bénes,sk SVK,MF,Gladbach,de Bundesliga,22,1997,1.7,7,4.20,1,4,0,0,2,0,2,1.20,0,1,0,0,1,0,Matches
272,263,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38.0,3,0.08,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
273,264,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,28,1992,29.5,34,1.15,27,5,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
274,265,Sergio Benito,es ESP,FW,Valladolid,es La Liga,21,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
275,266,Bilal Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,0.8,1,1.23,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
276,267,Djamel Benlamri,dz ALG,DF,Lyon,fr Ligue 1,30,1989,1.7,2,1.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
277,268,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,22,1997,14.7,28,1.90,20,2,1,2,3,0,7,0.47,6,0,0,0,1,0,Matches
278,269,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,24,1995,15.5,64,4.14,53,0,4,3,3,1,10,0.65,10,0,0,0,0,0,Matches
279,270,Yassine Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,21,1999,13.8,51,3.71,26,17,1,0,7,0,2,0.15,1,0,0,0,1,0,Matches
280,271,Ramy Bensebaini,dz ALG,DF,Gladbach,de Bundesliga,25,1995,20.1,24,1.19,19,0,2,1,1,1,4,0.20,1,0,1,1,1,0,Matches
281,272,Josh Benson,eng ENG,MF,Burnley,eng Premier League,20,1999,2.9,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
282,273,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,25,1994,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
283,274,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,23,1997,25.8,69,2.67,53,8,1,1,2,4,11,0.43,10,0,0,0,0,1,Matches
284,275,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,29,1990,20.2,40,1.98,31,0,4,2,1,2,4,0.20,2,0,1,0,0,1,Matches
285,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
286,276,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,32,1987,32.2,98,3.05,77,0,9,10,2,0,18,0.56,15,0,2,1,0,0,Matches
287,277,Yassine Benzia,dz ALG,"MF,FW",Dijon,fr Ligue 1,25,1994,4.5,16,3.54,12,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
288,278,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,0.3,1,3.21,0,1,0,0,0,0,1,3.21,0,1,0,0,0,0,Matches
289,279,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,25,1994,27.5,151,5.49,100,15,9,16,8,3,18,0.65,11,2,0,3,1,1,Matches
290,280,Gaetano Berardi,ch SUI,DF,Leeds United,eng Premier League,31,1988,1.3,1,0.80,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
291,281,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,18.7,42,2.25,35,1,2,0,3,1,4,0.21,3,0,0,0,1,0,Matches
292,282,Álex Berenguer,es ESP,MF,Torino,it Serie A,25,1995,1.5,3,2.06,1,0,1,1,0,0,1,0.69,1,0,0,0,0,0,Matches
293,283,Álex Berenguer,es ESP,"MF,FW",Athletic Club,es La Liga,25,1995,25.3,87,3.44,61,14,6,1,4,1,12,0.47,9,1,1,0,1,0,Matches
294,284,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,28,1992,29.0,37,1.28,27,4,2,1,2,1,1,0.03,1,0,0,0,0,0,Matches
295,285,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,29,1990,15.1,27,1.78,22,0,1,1,3,0,0,0.00,0,0,0,0,0,0,Matches
296,286,Sander Berge,no NOR,MF,Sheffield Utd,eng Premier League,22,1998,12.4,23,1.85,20,0,2,1,0,0,1,0.08,0,0,0,1,0,0,Matches
297,287,Steven Bergwijn,nl NED,"FW,MF",Tottenham,eng Premier League,22,1997,13.4,35,2.61,24,1,2,3,5,0,7,0.52,3,0,2,1,1,0,Matches
298,288,Valon Berisha,xk KVX,MF,Reims,fr Ligue 1,27,1993,18.3,57,3.12,48,8,0,0,0,1,7,0.38,5,2,0,0,0,0,Matches
299,289,Bernard,br BRA,"MF,FW",Everton,eng Premier League,27,1992,5.1,22,4.35,19,0,1,1,1,0,2,0.40,2,0,0,0,0,0,Matches
300,290,Federico Bernardeschi,it ITA,"MF,DF",Juventus,it Serie A,26,1994,10.8,43,3.97,23,15,1,1,3,0,5,0.46,5,0,0,0,0,0,Matches
301,291,Bernardo,br BRA,"DF,MF",Brighton,eng Premier League,25,1995,2.3,5,2.20,2,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
302,292,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
303,293,Juan Bernat,es ESP,DF,Paris S-G,fr Ligue 1,27,1993,2.2,3,1.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
304,294,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,22,1998,8.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
305,295,Marco Bertini,it ITA,MF,Lazio,it Serie A,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
306,296,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,30,1989,28.9,43,1.49,29,11,0,0,1,2,4,0.14,3,0,0,0,0,1,Matches
307,297,Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,27,1993,6.8,19,2.79,15,1,1,1,0,1,3,0.44,3,0,0,0,0,0,Matches
308,298,Loïc Bessile,tg TOG,DF,Bordeaux,fr Ligue 1,21,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
309,299,Jordan Beyer,de GER,DF,Gladbach,de Bundesliga,20,2000,2.1,3,1.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
310,300,Giulian Biancone,fr FRA,"DF,MF",Monaco,fr Ligue 1,20,2000,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
311,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
312,301,Bartosz Białek,pl POL,"FW,MF",Wolfsburg,de Bundesliga,18,2001,3.0,11,3.67,8,0,0,2,0,1,3,1.00,2,0,0,0,0,1,Matches
313,302,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,30,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
314,303,Pedro Bigas,es ESP,DF,Eibar,es La Liga,29,1990,17.0,9,0.53,6,2,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
315,304,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,18,2001,13.8,14,1.01,10,0,0,2,1,1,2,0.14,1,0,0,0,0,1,Matches
316,305,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,27,1992,31.1,92,2.95,44,39,1,3,4,1,10,0.32,8,1,0,0,1,0,Matches
317,306,Davide Biraschi,it ITA,DF,Genoa,it Serie A,26,1994,10.2,4,0.39,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
318,307,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,23,1996,34.6,59,1.71,47,0,4,3,2,3,3,0.09,3,0,0,0,0,0,Matches
319,308,Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,de Bundesliga,26,1993,16.8,51,3.03,28,11,4,2,3,3,4,0.24,1,1,0,0,1,1,Matches
320,309,Alejandro Blanco,es ESP,MF,Valencia,es La Liga,21,1998,6.4,11,1.71,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
321,310,Antonio Blanco,es ESP,"MF,FW",Real Madrid,es La Liga,20,2000,2.4,5,2.05,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
322,311,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,18.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
323,312,Ludovic Blas,fr FRA,"MF,FW",Nantes,fr Ligue 1,22,1997,31.0,84,2.71,54,4,13,7,4,2,10,0.32,6,0,2,0,2,0,Matches
324,313,Alejandro Blesa,es ESP,MF,Levante,es La Liga,18,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
325,314,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,31,1988,26.3,20,0.76,20,0,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
326,315,Antonin Bobichon,fr FRA,"MF,FW",Angers,fr Ligue 1,24,1995,10.1,44,4.34,29,5,3,2,5,0,3,0.30,2,0,0,1,0,0,Matches
327,316,Yann Bodiger,fr FRA,MF,Cádiz,es La Liga,25,1995,2.8,5,1.79,2,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
328,317,Jean-Paul Boëtius,sr SUR,"MF,FW",Mainz 05,de Bundesliga,26,1994,22.9,73,3.18,60,2,3,3,4,1,8,0.35,7,0,0,1,0,0,Matches
329,318,Sacha Boey,fr FRA,DF,Dijon,fr Ligue 1,19,2000,20.7,38,1.83,27,3,3,3,2,0,3,0.14,1,2,0,0,0,0,Matches
